Altium Designer Pick and Place Locations
D:\ALTIUM\WINTER BREAK\pcb_winterbreak_project\Project Outputs for pcb_winterbreak_project\Pick Place for PCB_Winterbreak.csv

========================================================================================================================
File Design Information:

Date:       13/02/25
Time:       16:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"X1","KC2520Z8.00000C1KX00","TopLayer","OSC_0C1KX00_AVX","6635.000mil","4150.000mil","0","No Description Available"
"U4","LM2595S-3.3/NOPB","TopLayer","KTT0005B_N","6194.291mil","5895.000mil","0","SIMPLE SWITCHER® Power Converter 150 KHz 1A Step-Down Voltage Regulator, 5-pin TO-263, Pb-Free"
"U2","IRM-15-15","TopLayer","IRM-15_MWU","2055.827mil","6624.449mil","180","No Description Available"
"U1","DSPIC33CK256MP508-IPT","TopLayer","TQFP80_PT_MCH","4165.000mil","4795.000mil","0","No Description Available"
"TVS1","SZ1SMB36CAT3G","TopLayer","SMB-2_4P60X3P95_ONS","5320.000mil","7110.000mil","180","No Description Available"
"SW4","430182043816","TopLayer","430182043816","3460.000mil","5635.000mil","0","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 1000000Cycles 1.57N SMD Reel"
"SW1","430182043816","TopLayer","430182043816","4885.000mil","4705.000mil","0","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 1000000Cycles 1.57N SMD Reel"
"R_MCLR","ESR03EZPJ103","TopLayer","FP-ESR03-IPC_C","3325.000mil","5330.000mil","180","10kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"
"R52","RR0816Q-750-D","TopLayer","FP-RR0816-IPC_B","6635.000mil","3960.000mil","0","75O ±0.5% 0.0625W 1/16W Chip Resistor 0603 (1608 Metric) Thin Film"
"R41","RR0816Q-750-D","TopLayer","FP-RR0816-IPC_B","3070.001mil","5335.000mil","180","75O ±0.5% 0.0625W 1/16W Chip Resistor 0603 (1608 Metric) Thin Film"
